datetime,open,high,low,close,tick_volume,gradient,signal_label,signal_with_time
2024-02-23,2024.27,2041.34,2016.08,2035.52,75879,11.25,Bullish,Bullish (2024-02-23 00:00:00)
2024-02-26,2034.82,2037.04,2025.1,2031.16,70059,-4.3599999999999,Bearish,Bearish (2024-02-26 00:00:00)
2024-02-27,2031.14,2039.48,2028.81,2030.38,63573,-0.7799999999999727,Bearish,Bearish (2024-02-27 00:00:00)
2024-02-28,2030.59,2037.9,2024.49,2034.37,64056,3.9899999999997817,Bullish,Bullish (2024-02-28 00:00:00)
2024-02-29,2034.14,2050.74,2028.11,2044.12,76117,9.75,Bullish,Bullish (2024-02-29 00:00:00)
2024-03-01,2043.69,2088.35,2039.1,2083.26,94034,39.14000000000033,Bullish,Bullish (2024-03-01 00:00:00)
2024-03-04,2082.5,2119.92,2079.51,2114.27,89309,31.009999999999764,Bullish,Bullish (2024-03-04 00:00:00)
2024-03-05,2114.77,2141.82,2110.51,2127.84,96815,13.570000000000164,Bullish,Bullish (2024-03-05 00:00:00)
2024-03-06,2128.01,2152.23,2123.73,2148.03,99554,20.190000000000055,Bullish,Bullish (2024-03-06 00:00:00)
2024-03-07,2148.85,2164.74,2144.22,2159.93,97538,11.899999999999636,Bullish,Bullish (2024-03-07 00:00:00)
2024-03-08,2159.63,2195.19,2154.02,2178.55,108653,18.620000000000346,Bullish,Bullish (2024-03-08 00:00:00)
2024-03-11,2179.77,2189.01,2174.88,2182.65,110282,4.099999999999909,Bullish,Bullish (2024-03-11 00:00:00)
2024-03-12,2182.44,2184.79,2150.66,2158.13,126186,-24.519999999999982,Bearish,Bearish (2024-03-12 00:00:00)
2024-03-13,2157.94,2179.91,2155.82,2174.32,110921,16.190000000000055,Bullish,Bullish (2024-03-13 00:00:00)
2024-03-14,2174.48,2177.0,2152.8,2162.19,110900,-12.13000000000011,Bearish,Bearish (2024-03-14 00:00:00)
2024-03-15,2161.9,2172.73,2155.21,2155.82,103930,-6.369999999999891,Bearish,Bearish (2024-03-15 00:00:00)
2024-03-18,2155.34,2163.64,2146.16,2160.26,100699,4.440000000000055,Bullish,Bullish (2024-03-18 00:00:00)
2024-03-19,2160.12,2162.86,2147.19,2157.48,106370,-2.7800000000002,Bearish,Bearish (2024-03-19 00:00:00)
2024-03-20,2157.8,2188.84,2149.63,2186.24,115960,28.759999999999764,Bullish,Bullish (2024-03-20 00:00:00)
2024-03-21,2186.76,2223.08,2166.47,2181.25,160096,-4.989999999999782,Bearish,Bearish (2024-03-21 00:00:00)
2024-03-22,2181.5,2186.13,2157.16,2165.27,124138,-15.980000000000018,Bearish,Bearish (2024-03-22 00:00:00)
2024-03-25,2165.75,2181.32,2163.62,2171.73,116388,6.460000000000036,Bullish,Bullish (2024-03-25 00:00:00)
2024-03-26,2171.62,2200.13,2167.67,2178.63,125202,6.900000000000091,Bullish,Bullish (2024-03-26 00:00:00)
2024-03-27,2178.58,2197.64,2173.49,2194.88,110387,16.25,Bullish,Bullish (2024-03-27 00:00:00)
2024-03-28,2194.09,2236.24,2187.41,2232.88,132556,38.0,Bullish,Bullish (2024-03-28 00:00:00)
2024-04-01,2239.9,2265.71,2228.54,2251.31,141456,18.429999999999836,Bullish,Bullish (2024-04-01 00:00:00)
2024-04-02,2251.58,2281.06,2246.77,2280.53,158880,29.220000000000255,Bullish,Bullish (2024-04-02 00:00:00)
2024-04-03,2280.46,2301.14,2265.47,2299.64,154526,19.109999999999673,Bullish,Bullish (2024-04-03 00:00:00)
2024-04-04,2299.88,2305.66,2280.06,2290.95,143270,-8.690000000000055,Bearish,Bearish (2024-04-04 00:00:00)
2024-04-05,2290.82,2330.52,2267.79,2329.28,156009,38.33000000000038,Bullish,Bullish (2024-04-05 00:00:00)
2024-04-08,2324.16,2354.03,2302.98,2338.82,188711,9.539999999999964,Bullish,Bullish (2024-04-08 00:00:00)
2024-04-09,2338.95,2365.34,2336.97,2352.22,173872,13.399999999999636,Bullish,Bullish (2024-04-09 00:00:00)
2024-04-10,2353.08,2360.14,2319.38,2333.55,181515,-18.669999999999618,Bearish,Bearish (2024-04-10 00:00:00)
2024-04-11,2333.88,2377.71,2325.77,2372.41,188242,38.85999999999967,Bullish,Bullish (2024-04-11 00:00:00)
2024-04-12,2371.98,2431.52,2333.84,2344.22,230486,-28.190000000000055,Bearish,Bearish (2024-04-12 00:00:00)
2024-04-15,2352.52,2387.66,2324.39,2383.1,230069,38.88000000000011,Bullish,Bullish (2024-04-15 00:00:00)
2024-04-16,2382.26,2398.35,2363.07,2382.85,210799,-0.25,Bearish,Bearish (2024-04-16 00:00:00)
2024-04-17,2381.95,2395.62,2354.68,2361.16,189769,-21.690000000000055,Bearish,Bearish (2024-04-17 00:00:00)
2024-04-18,2361.57,2392.89,2361.37,2378.86,176751,17.700000000000273,Bullish,Bullish (2024-04-18 00:00:00)
2024-04-19,2378.44,2417.94,2372.89,2390.63,216943,11.769999999999982,Bullish,Bullish (2024-04-19 00:00:00)
2024-04-22,2388.86,2389.8,2324.57,2327.25,185074,-63.38000000000011,Bearish,Bearish (2024-04-22 00:00:00)
2024-04-23,2327.32,2334.48,2291.51,2322.11,198415,-5.139999999999873,Bearish,Bearish (2024-04-23 00:00:00)
2024-04-24,2321.7,2337.34,2311.84,2315.96,170908,-6.150000000000091,Bearish,Bearish (2024-04-24 00:00:00)
2024-04-25,2315.18,2344.89,2305.1,2332.37,166971,16.409999999999854,Bullish,Bullish (2024-04-25 00:00:00)
2024-04-26,2332.18,2352.61,2326.37,2337.78,147802,5.410000000000309,Bullish,Bullish (2024-04-26 00:00:00)
2024-04-29,2336.43,2346.77,2319.91,2335.36,174589,-2.4200000000000728,Bearish,Bearish (2024-04-29 00:00:00)
2024-04-30,2335.68,2336.37,2285.17,2286.3,168499,-49.059999999999945,Bearish,Bearish (2024-04-30 00:00:00)
2024-05-01,2286.49,2328.34,2281.73,2319.48,169366,33.179999999999836,Bullish,Bullish (2024-05-01 00:00:00)
2024-05-02,2321.78,2326.5,2285.51,2303.51,160610,-15.9699999999998,Bearish,Bearish (2024-05-02 00:00:00)
2024-05-03,2303.97,2320.62,2277.34,2301.67,150781,-1.8400000000001455,Bearish,Bearish (2024-05-03 00:00:00)
2024-05-06,2304.9,2332.04,2291.85,2323.76,149204,22.090000000000146,Bullish,Bullish (2024-05-06 00:00:00)
2024-05-07,2324.18,2329.99,2310.03,2313.83,130715,-9.930000000000291,Bearish,Bearish (2024-05-07 00:00:00)
2024-05-08,2313.7,2321.48,2303.73,2308.83,129873,-5.0,Bearish,Bearish (2024-05-08 00:00:00)
2024-05-09,2308.9,2347.27,2306.66,2346.02,127810,37.190000000000055,Bullish,Bullish (2024-05-09 00:00:00)
2024-05-10,2346.47,2378.48,2345.27,2360.47,147080,14.449999999999818,Bullish,Bullish (2024-05-10 00:00:00)
2024-05-13,2361.65,2364.53,2332.17,2336.14,127323,-24.329999999999927,Bearish,Bearish (2024-05-13 00:00:00)
2024-05-14,2336.3,2359.72,2334.87,2358.0,126924,21.860000000000127,Bullish,Bullish (2024-05-14 00:00:00)
2024-05-15,2357.81,2390.26,2351.87,2385.76,149690,27.76000000000022,Bullish,Bullish (2024-05-15 00:00:00)
2024-05-16,2385.62,2397.4,2371.01,2376.72,143031,-9.040000000000418,Bearish,Bearish (2024-05-16 00:00:00)
2024-05-17,2377.18,2422.75,2374.03,2413.84,130830,37.120000000000346,Bullish,Bullish (2024-05-17 00:00:00)
2024-05-20,2416.14,2450.06,2407.39,2426.22,193263,12.379999999999654,Bullish,Bullish (2024-05-20 00:00:00)
2024-05-21,2426.92,2433.96,2406.27,2420.88,173957,-5.339999999999691,Bearish,Bearish (2024-05-21 00:00:00)
2024-05-22,2421.25,2426.54,2374.98,2378.58,175043,-42.30000000000018,Bearish,Bearish (2024-05-22 00:00:00)
2024-05-23,2379.77,2383.74,2327.03,2328.55,186862,-50.029999999999745,Bearish,Bearish (2024-05-23 00:00:00)
2024-05-24,2328.68,2347.42,2325.43,2333.86,135011,5.309999999999945,Bullish,Bullish (2024-05-24 00:00:00)
2024-05-27,2338.13,2358.56,2332.32,2351.24,106311,17.379999999999654,Bullish,Bullish (2024-05-27 00:00:00)
2024-05-28,2351.4,2364.07,2340.33,2361.13,142999,9.890000000000327,Bullish,Bullish (2024-05-28 00:00:00)
2024-05-29,2360.52,2362.66,2334.54,2338.0,139043,-23.13000000000011,Bearish,Bearish (2024-05-29 00:00:00)
2024-05-30,2337.98,2351.87,2322.65,2342.98,160275,4.980000000000018,Bullish,Bullish (2024-05-30 00:00:00)
