index,time,open,high,low,close,avgPrice,gradient,signal_label,signal_with_time,CPI_Actual,CPI_Forecast,CPI_Previous,GDP_Actual,GDP_Forecast,GDP_Previous,Interest_Rate_Actual,Interest_Rate_Forecast,Interest_Rate_Previous,NFP_Actual,NFP_Forecast,NFP_Previous,PCE_Actual,PCE_Forecast,PCE_Previous,PPI_Actual,PPI_Forecast,PPI_Previous
34,2020/10/01 12:00am,1885.26,1933.19,1859.94,1878.38,1881.82,-44.485,Bearish,Bearish (2020-10-01 00:00:00),0.014,0.014,0.013,0.331,0.31,-0.314,0.0025,0.0025,0.0025,661K,850K,"1,489K",0.014,0.012,0.013,0.004,0.002,-0.002
35,2020/10/01 12:00am,1885.26,1933.19,1859.94,1878.38,1881.82,-44.485,Bearish,Bearish (2020-10-01 00:00:00),0.014,0.014,0.013,0.331,0.31,-0.314,0.0025,0.0025,0.0025,661K,850K,"1,489K",0.014,0.012,0.011,0.004,0.002,-0.002
36,2020/11/01 12:00am,1877.02,1965.51,1764.23,1776.72,1826.87,-54.95,Bearish,Bearish (2020-11-01 00:00:00),0.012,0.013,0.014,0.331,0.332,0.331,0.0025,0.0025,0.0025,638K,600K,672K,0.012,0.012,0.014,0.005,0.004,0.004
37,2020/12/01 12:00am,1777.9,1906.74,1775.74,1893.7,1835.8,8.93,Bullish,Bullish (2020-12-01 00:00:00),0.012,0.011,0.012,0.334,0.331,0.331,0.0025,0.0025,0.0025,245K,469K,610K,0.011,0.012,0.012,0.008,0.008,0.005
38,2021/01/01 12:00am,1908.61,1959.35,1803.58,1848.69,1878.65,42.85,Bullish,Bullish (2021-01-01 00:00:00),0.014,0.013,0.012,0.04,0.04,0.334,0.0025,0.0025,0.0025,-140K,71K,336K,0.013,0.012,0.011,0.008,0.008,0.008
39,2021/02/01 12:00am,1859.64,1871.82,1717.22,1734.28,1796.96,-81.69,Bearish,Bearish (2021-02-01 00:00:00),0.014,0.015,0.013,0.041,0.042,0.04,0.0025,0.0025,0.0025,49K,50K,-227K,0.015,0.012,0.013,0.017,0.009,0.008
40,2021/03/01 12:00am,1735.92,1759.83,1676.81,1707.39,1721.655,-75.305,Bearish,Bearish (2021-03-01 00:00:00),0.017,0.017,0.014,0.043,0.041,0.041,0.0025,0.0025,0.0025,379K,182K,166K,0.016,0.012,0.014,0.028,0.027,0.017
41,2021/04/01 12:00am,1707.04,1797.85,1705.76,1768.88,1737.96,16.305,Bullish,Bullish (2021-04-01 00:00:00),0.026,0.025,0.017,0.064,0.061,0.043,0.0025,0.0025,0.0025,916K,647K,468K,0.023,0.012,0.015,0.042,0.038,0.028
42,2021/05/01 12:00am,1766.81,1912.75,1766.04,1906.64,1836.725,98.765,Bullish,Bullish (2021-05-01 00:00:00),0.042,0.036,0.026,0.064,0.065,0.064,0.0025,0.0025,0.0025,266K,978K,770K,0.036,0.012,0.024,0.062,0.059,0.042
43,2021/06/01 12:00am,1907.39,1916.6,1750.67,1770.37,1838.88,2.155,Bullish,Bullish (2021-06-01 00:00:00),0.05,0.047,0.042,0.064,0.064,0.064,0.0025,0.0025,0.0025,559K,650K,278K,0.039,0.012,0.036,0.066,0.063,0.062
44,2021/07/01 12:00am,1770.04,1834.14,1765.73,1814.09,1792.065,-46.815,Bearish,Bearish (2021-07-01 00:00:00),0.054,0.049,0.05,0.065,0.085,0.064,0.0025,0.0025,0.0025,850K,700K,583K,0.04,0.012,0.04,0.073,0.068,0.066
45,2021/08/01 12:00am,1813.83,1831.72,1679.17,1813.74,1813.785,21.72,Bullish,Bullish (2021-08-01 00:00:00),0.054,0.053,0.054,0.066,0.067,0.065,0.0025,0.0025,0.0025,943K,870K,938K,0.042,0.012,0.04,0.078,0.073,0.073
46,2021/09/01 12:00am,1814.36,1833.99,1721.65,1757,1785.68,-28.105,Bearish,Bearish (2021-09-01 00:00:00),0.053,0.053,0.054,0.067,0.066,0.066,0.0025,0.0025,0.0025,235K,750K,"1,053K",0.042,0.012,0.04,0.083,0.082,0.078
47,2021/10/01 12:00am,1756.36,1813.84,1745.88,1782.96,1769.66,-16.02,Bearish,Bearish (2021-10-01 00:00:00),0.054,0.053,0.053,0.02,0.027,0.067,0.0025,0.0025,0.0025,194K,500K,366K,0.043,0.012,0.042,0.086,0.087,0.083
48,2021/10/01 12:00am,1756.36,1813.84,1745.88,1782.96,1769.66,-16.02,Bearish,Bearish (2021-10-01 00:00:00),0.054,0.053,0.053,0.02,0.027,0.067,0.0025,0.0025,0.0025,194K,500K,366K,0.044,0.012,0.042,0.086,0.087,0.083
49,2021/11/01 12:00am,1782.92,1877.13,1758.82,1774.81,1778.865,9.205,Bullish,Bullish (2021-11-01 00:00:00),0.062,0.058,0.054,0.021,0.022,0.02,0.0025,0.0025,0.0025,531K,450K,312K,0.05,0.012,0.044,0.086,0.087,0.086
50,2021/12/01 12:00am,1775.08,1828.61,1751.04,1828.34,1801.71,22.845,Bullish,Bullish (2021-12-01 00:00:00),0.068,0.068,0.062,0.023,0.021,0.021,0.0025,0.0025,0.0025,210K,550K,546K,0.057,0.012,0.051,0.096,0.092,0.088
51,2022/01/01 12:00am,1830.09,1853.88,1780.31,1797.3,1813.695,11.985,Bullish,Bullish (2022-01-01 00:00:00),0.07,0.07,0.068,0.069,0.055,0.023,0.0025,0.0025,0.0025,199K,400K,249K,0.058,0.012,0.057,0.097,0.098,0.098
52,2022/02/01 12:00am,1798.04,1974.41,1788.7,1908.93,1853.485,39.79,Bullish,Bullish (2022-02-01 00:00:00),0.075,0.073,0.07,0.07,0.07,0.069,0.0025,0.0025,0.0025,467K,150K,510K,0.061,0.012,0.058,0.097,0.091,0.098
53,2022/03/01 12:00am,1907.85,2070.27,1890.1,1937.12,1922.485,69,Bullish,Bullish (2022-03-01 00:00:00),0.079,0.079,0.075,0.069,0.071,0.07,0.005,0.005,0.0025,678K,400K,481K,0.064,0.012,0.06,0.1,0.1,0.1
54,2022/04/01 12:00am,1937.27,1998.36,1872.04,1896.23,1916.75,-5.735,Bearish,Bearish (2022-04-01 00:00:00),0.085,0.084,0.079,-0.014,0.011,0.069,0.005,0.005,0.0025,431K,490K,750K,0.066,0.012,0.063,0.112,0.106,0.103
55,2022/05/01 12:00am,1897.82,1909.79,1791.41,1837.46,1867.64,-49.11,Bearish,Bearish (2022-05-01 00:00:00),0.083,0.081,0.085,-0.015,-0.013,-0.014,0.01,0.01,0.005,428K,391K,428K,0.063,0.012,0.066,0.11,0.107,0.115
56,2022/06/01 12:00am,1837.01,1879.02,1802.74,1807.12,1822.065,-45.575,Bearish,Bearish (2022-06-01 00:00:00),0.086,0.083,0.083,-0.016,-0.015,-0.015,0.0175,0.015,0.01,390K,325K,436K,0.063,0.012,0.063,0.108,0.109,0.109
57,2022/07/01 12:00am,1806.88,1814.3,1680.92,1766,1786.44,-35.625,Bearish,Bearish (2022-07-01 00:00:00),0.091,0.088,0.086,-0.009,0.005,-0.016,0.025,0.025,0.0175,372K,268K,384K,0.068,0.068,0.063,0.113,0.107,0.109
58,2022/08/01 12:00am,1764.18,1807.92,1709.65,1710.99,1737.585,-48.855,Bearish,Bearish (2022-08-01 00:00:00),0.085,0.087,0.091,-0.006,-0.008,-0.009,0.025,0.025,0.0175,528K,250K,398K,0.063,0.068,0.068,0.098,0.104,0.113
59,2022/09/01 12:00am,1711.12,1735.13,1614.87,1660.79,1685.955,-51.63,Bearish,Bearish (2022-09-01 00:00:00),0.083,0.081,0.085,-0.006,-0.006,-0.016,0.0325,0.0325,0.025,315K,300K,526K,0.062,0.068,0.064,0.087,0.088,0.098
60,2022/10/01 12:00am,1662.36,1729.48,1617.26,1633.56,1647.96,-37.995,Bearish,Bearish (2022-10-01 00:00:00),0.082,0.081,0.082,0.026,0.024,-0.006,0.0325,0.0325,0.025,263K,250K,315K,0.062,0.068,0.062,0.085,0.084,0.087
61,2022/11/01 12:00am,1632.66,1786.51,1616.66,1768.39,1700.525,52.565,Bullish,Bullish (2022-11-01 00:00:00),0.077,0.08,0.082,0.029,0.027,0.026,0.04,0.04,0.0325,261K,200K,315K,0.062,0.068,0.062,0.08,0.083,0.084
62,2022/12/01 12:00am,1768.74,1833.32,1765.87,1823.73,1796.235,95.71,Bullish,Bullish (2022-12-01 00:00:00),0.071,0.073,0.078,0.032,0.029,-0.006,0.045,0.045,0.04,263K,200K,284K,0.06,0.06,0.063,0.074,0.072,0.081
63,2022/12/01 12:00am,1768.74,1833.32,1765.87,1823.73,1796.235,95.71,Bullish,Bullish (2022-12-01 00:00:00),0.071,0.073,0.078,0.032,0.029,-0.006,0.045,0.045,0.04,263K,200K,284K,0.055,0.06,0.061,0.074,0.072,0.081
64,2023/01/01 12:00am,1826.92,1949.24,1824.21,1928.1,1877.51,81.275,Bullish,Bullish (2023-01-01 00:00:00),0.065,0.065,0.071,0.029,0.026,0.032,0.045,0.045,0.04,223K,200K,256K,0.05,0.055,0.055,0.062,0.068,0.073
65,2023/02/01 12:00am,1927.81,1959.78,1804.75,1826.5,1877.155,-0.355,Bearish,Bearish (2023-02-01 00:00:00),0.064,0.062,0.065,0.027,0.029,0.032,0.0475,0.0475,0.045,517K,185K,260K,0.054,0.05,0.053,0.06,0.054,0.065
66,2023/03/01 12:00am,1826.98,2009.8,1809.38,1969.22,1898.1,20.945,Bullish,Bullish (2023-03-01 00:00:00),0.06,0.06,0.064,0.026,0.027,0.032,0.05,0.05,0.0475,311K,205K,504K,0.05,0.051,0.053,0.046,0.054,0.057
67,2023/04/01 12:00am,1961.31,2048.76,1949.74,1989.55,1975.43,77.33,Bullish,Bullish (2023-04-01 00:00:00),0.05,0.052,0.06,0.011,0.02,0.026,0.05,0.05,0.0475,236K,239K,326K,0.042,0.051,0.051,0.027,0.03,0.049
68,2023/05/01 12:00am,1989.62,2071.72,1932.07,1962.6,1976.11,0.68,Bullish,Bullish (2023-05-01 00:00:00),0.049,0.05,0.05,0.013,0.011,0.026,0.0525,0.0525,0.05,253K,180K,165K,0.044,0.039,0.042,0.023,0.024,0.027
69,2023/06/01 12:00am,1963.12,1983.43,1893.01,1919.17,1941.145,-34.965,Bearish,Bearish (2023-06-01 00:00:00),0.04,0.041,0.049,0.02,0.014,0.026,0.0525,0.0525,0.0525,339K,180K,294K,0.038,0.046,0.043,0.011,0.015,0.023
70,2023/07/01 12:00am,1918.99,1987.46,1902.66,1965.52,1942.255,1.11,Bullish,Bullish (2023-07-01 00:00:00),0.03,0.031,0.04,0.024,0.018,0.02,0.055,0.055,0.0525,209K,225K,306K,0.03,0.031,0.038,0.001,0.004,0.009
71,2023/08/01 12:00am,1965.78,1966.05,1884.86,1940.06,1952.92,10.665,Bullish,Bullish (2023-08-01 00:00:00),0.032,0.033,0.03,0.021,0.024,0.02,0.055,0.055,0.0525,187K,200K,185K,0.033,0.033,0.03,0.008,0.007,0.002
72,2023/09/01 12:00am,1939.88,1952.91,1846.32,1848.74,1894.31,-58.61,Bearish,Bearish (2023-09-01 00:00:00),0.037,0.036,0.032,0.021,0.021,0.02,0.055,0.055,0.055,187K,170K,157K,0.035,0.035,0.034,0.016,0.012,0.008
73,2023/10/01 12:00am,1847.81,2009.36,1810.43,1983.97,1915.89,21.58,Bullish,Bullish (2023-10-01 00:00:00),0.037,0.036,0.037,0.049,0.043,0.021,0.055,0.055,0.055,336K,170K,227K,0.034,0.034,0.034,0.022,0.016,0.02
74,2023/11/01 12:00am,1983.8,2051.99,1931.72,2036.09,2009.945,94.055,Bullish,Bullish (2023-11-01 00:00:00),0.032,0.033,0.037,0.052,0.049,0.021,0.055,0.055,0.055,150K,180K,297K,0.03,0.03,0.034,0.013,0.019,0.022
75,2023/12/01 12:00am,2036.88,2143.85,1973.02,2063.03,2049.955,40.01,Bullish,Bullish (2023-12-01 00:00:00),0.031,0.031,0.032,0.049,0.052,0.021,0.055,0.055,0.055,199K,180K,150K,0.026,0.028,0.029,0.009,0.01,0.012
76,2024/01/01 12:00am,2063.69,2078.88,2001.91,2039.2,2051.445,1.49,Bullish,Bullish (2024-01-01 00:00:00),0.034,0.032,0.031,0.033,0.02,0.049,0.055,0.055,0.055,216K,170K,173K,0.026,0.026,0.026,0.01,0.013,0.008
77,2024/02/01 12:00am,2039.99,2065.41,1984.26,2044.12,2042.055,-9.39,Bearish,Bearish (2024-02-01 00:00:00),0.031,0.029,0.034,0.032,0.033,0.049,0.055,0.055,0.055,353K,187K,333K,0.024,0.024,0.026,0.009,0.006,0.01
78,2024/03/01 12:00am,2043.69,2236.24,2039.1,2232.88,2138.285,96.23,Bullish,Bullish (2024-03-01 00:00:00),0.032,0.031,0.031,0.034,0.032,0.049,0.055,0.055,0.055,275K,198K,229K,0.025,0.025,0.024,0.016,0.011,0.01
79,2024/04/01 12:00am,2239.9,2431.52,2228.54,2286.3,2263.1,124.815,Bullish,Bullish (2024-04-01 00:00:00),0.035,0.034,0.032,0.016,0.025,0.034,0.055,0.055,0.055,303K,212K,270K,0.027,0.026,0.025,0.021,0.022,0.016
80,2024/05/01 12:00am,2286.49,2450.06,2277.34,2327.46,2306.975,43.875,Bullish,Bullish (2024-05-01 00:00:00),0.034,0.034,0.035,0.013,0.016,0.034,0.055,0.055,0.055,175K,238K,315K,0.027,0.027,0.027,0.022,0.022,0.018
81,2024/06/01 12:00am,2327.79,2387.72,2286.82,2326.4,2327.095,20.12,Bullish,Bullish (2024-06-01 00:00:00),0.033,0.034,0.034,0.014,0.013,0.034,0.055,0.055,0.055,272K,182K,165K,0.026,0.026,0.027,0.022,0.025,0.023
82,2024/07/01 12:00am,2327.13,2483.69,2318.56,2447.24,2387.185,60.09,Bullish,Bullish (2024-07-01 00:00:00),0.03,0.031,0.033,0.028,0.02,0.014,0.055,0.055,0.055,206K,191K,218K,0.025,0.025,0.026,0.026,0.023,0.024
83,2024/08/01 12:00am,2448.4,2531.72,2364.35,2503.35,2475.875,88.69,Bullish,Bullish (2024-08-01 00:00:00),0.029,0.03,0.03,0.03,0.028,0.014,0.055,0.055,0.055,114K,176K,179K,0.025,0.026,0.025,0.022,0.023,0.027
84,2024/09/01 12:00am,2503.75,2685.58,2471.93,2634.53,2569.14,93.265,Bullish,Bullish (2024-09-01 00:00:00),0.025,0.025,0.029,0.03,0.03,0.016,0.05,0.0525,0.055,142K,164K,89K,0.022,0.023,0.025,0.017,0.018,0.021
85,2024/10/01 12:00am,2634.38,2790.1,2604.49,2743.77,2689.075,119.935,Bullish,Bullish (2024-10-01 00:00:00),0.024,0.023,0.025,0.028,0.03,0.03,0.05,0.0525,0.055,254K,147K,159K,0.021,0.021,0.023,0.018,0.016,0.019
86,2024/11/01 12:00am,2743.83,2762.22,2536.85,2650.39,2697.11,8.035,Bullish,Bullish (2024-11-01 00:00:00),0.026,0.026,0.024,0.028,0.028,0.03,0.0475,0.0475,0.05,12K,106K,223K,0.023,0.023,0.021,0.024,0.023,0.019
87,2024/12/01 12:00am,2652.29,2726.16,2582.92,2624.43,2638.36,-58.75,Bearish,Bearish (2024-12-01 00:00:00),0.027,0.027,0.026,0.031,0.028,0.03,0.045,0.045,0.0475,227K,202K,36K,0.024,0.025,0.023,0.03,0.026,0.026
88,2025/01/01 12:00am,2625.14,2817.11,2614.79,2798.47,2711.805,73.445,Bullish,Bullish (2025-01-01 00:00:00),0.029,0.029,0.027,0.023,0.027,0.031,0.045,0.045,0.045,256K,164K,212K,0.026,0.026,0.024,0.033,0.035,0.03
89,2025/02/01 12:00am,2797.69,2956.29,2772.21,2859.06,2828.375,116.57,Bullish,Bullish (2025-02-01 00:00:00),0.03,0.029,0.029,0.023,0.023,0.031,0.045,0.045,0.045,143K,169K,307K,0.025,0.025,0.026,0.035,0.032,0.035
90,2025/03/01 12:00am,2856.12,3127.92,2855.87,3123.96,2990.04,161.665,Bullish,Bullish (2025-03-01 00:00:00),0.028,0.029,0.03,0.024,0.023,0.031,0.045,0.045,0.045,151K,159K,125K,0.025,0.025,0.025,0.032,0.033,0.037
91,2025/04/01 12:00am,3123.08,3500.12,2956.56,3288.27,3205.675,215.635,Bullish,Bullish (2025-04-01 00:00:00),0.024,0.025,0.028,-0.003,0.002,0.024,0.045,0.045,0.045,228K,137K,117K,0.023,0.022,0.027,0.027,0.033,0.032
92,2025/05/01 12:00am,3289.25,3438.27,3120.57,3288.72,3288.985,83.31,Bullish,Bullish (2025-05-01 00:00:00),0.024,0.024,0.024,-0.003,0.002,-0.003,0.045,0.045,0.045,177K,138K,185K,0.023,0.022,0.023,0.027,0.033,0.027
93,2025/06/01 12:00am,3298.26,3380.46,3295.92,3379.89,3339.075,50.09,Bullish,Bullish (2025-06-01 00:00:00),0.024,0.024,0.024,-0.003,0.002,-0.003,0.045,0.045,0.045,177K,138K,185K,0.023,0.022,0.023,0.027,0.033,0.027
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,100,,,,,,
