time,open,high,low,close,tick_volume,avgPrice,gradient,signal_label,signal_with_time
4/21/2019,1275.78,1288.72,1266.34,1285.92,429517,1280.85,-2.46,Bearish,Bearish (2019-04-21 00:00:00)
4/28/2019,1286.45,1287.24,1266.31,1279.04,459025,1282.745,1.895,Bullish,Bullish (2019-04-28 00:00:00)
5/5/2019,1280.75,1291.51,1277.05,1285.75,492082,1283.25,0.505,Bullish,Bullish (2019-05-05 00:00:00)
5/12/2019,1287.58,1303.33,1274.87,1277.71,422080,1282.645,-0.605,Bearish,Bearish (2019-05-12 00:00:00)
5/19/2019,1277.55,1287.31,1269.55,1284.82,386516,1281.185,-1.46,Bearish,Bearish (2019-05-19 00:00:00)
5/26/2019,1284.77,1306.96,1275.06,1305.55,428584,1295.16,13.975,Bullish,Bullish (2019-05-26 00:00:00)
6/2/2019,1306.98,1348.26,1305.95,1340.38,616173,1323.68,28.52,Bullish,Bullish (2019-06-02 00:00:00)
6/9/2019,1336.48,1358.2,1319.92,1341.33,543595,1338.905,15.225,Bullish,Bullish (2019-06-09 00:00:00)
6/16/2019,1341.82,1411.78,1333.04,1398.96,787738,1370.39,31.485,Bullish,Bullish (2019-06-16 00:00:00)
6/23/2019,1400.19,1439.12,1398.68,1409.46,870942,1404.825,34.435,Bullish,Bullish (2019-06-23 00:00:00)
6/30/2019,1398.45,1437.72,1381.8,1398.68,759210,1398.565,-6.26,Bearish,Bearish (2019-06-30 00:00:00)
7/7/2019,1398.13,1427.17,1385.86,1415.25,705734,1406.69,8.125,Bullish,Bullish (2019-07-07 00:00:00)
7/14/2019,1415.36,1452.98,1400.14,1425.01,754775,1420.185,13.495,Bullish,Bullish (2019-07-14 00:00:00)
7/21/2019,1427.54,1433.83,1411.05,1418.27,661208,1422.905,2.72,Bullish,Bullish (2019-07-21 00:00:00)
7/28/2019,1418.55,1449.11,1400.56,1440.76,801041,1429.655,6.75,Bullish,Bullish (2019-07-28 00:00:00)
8/4/2019,1440.75,1510.41,1436.8,1496.98,968531,1468.865,39.21,Bullish,Bullish (2019-08-04 00:00:00)
8/11/2019,1497.63,1535.04,1480.1,1512.31,874088,1504.97,36.105,Bullish,Bullish (2019-08-11 00:00:00)
8/18/2019,1512.22,1530.24,1492.53,1526.8,613348,1519.51,14.54,Bullish,Bullish (2019-08-18 00:00:00)
8/25/2019,1535.09,1555.03,1516.95,1520.55,778643,1527.82,8.31,Bullish,Bullish (2019-08-25 00:00:00)
9/1/2019,1532.86,1557.06,1502.59,1505.84,784499,1519.35,-8.47,Bearish,Bearish (2019-09-01 00:00:00)
9/8/2019,1507.41,1524.2,1484.52,1488.35,868816,1497.88,-21.47,Bearish,Bearish (2019-09-08 00:00:00)
9/15/2019,1505.34,1517.07,1483.45,1516.49,840736,1510.915,13.035,Bullish,Bullish (2019-09-15 00:00:00)
9/22/2019,1513.73,1535.7,1486.84,1496.86,943484,1505.295,-5.62,Bearish,Bearish (2019-09-22 00:00:00)
9/29/2019,1494.81,1519.64,1459.1,1504.64,996167,1499.725,-5.57,Bearish,Bearish (2019-09-29 00:00:00)
10/6/2019,1512.65,1517.07,1474.05,1488.59,959804,1500.62,0.895,Bullish,Bullish (2019-10-06 00:00:00)
10/13/2019,1487.38,1498.43,1477.08,1490.17,797778,1488.775,-11.845,Bearish,Bearish (2019-10-13 00:00:00)
10/20/2019,1491.63,1517.98,1480.88,1504.39,660833,1498.01,9.235,Bullish,Bullish (2019-10-20 00:00:00)
10/27/2019,1504.46,1516.17,1481.19,1513.82,709870,1509.14,11.13,Bullish,Bullish (2019-10-27 00:00:00)
11/3/2019,1514.17,1514.84,1456.25,1459.06,746127,1486.615,-22.525,Bearish,Bearish (2019-11-03 00:00:00)
11/10/2019,1459.37,1474.67,1445.62,1467.67,707416,1463.52,-23.095,Bearish,Bearish (2019-11-10 00:00:00)
11/17/2019,1467.11,1478.89,1456.42,1462.08,704455,1464.595,1.075,Bullish,Bullish (2019-11-17 00:00:00)
11/24/2019,1460.79,1466.56,1450.08,1463.97,376324,1462.38,-2.215,Bearish,Bearish (2019-11-24 00:00:00)
12/1/2019,1464.19,1484.09,1453.99,1459.77,585745,1461.98,-0.4,Bearish,Bearish (2019-12-01 00:00:00)
12/8/2019,1459.59,1486.74,1458.76,1475.32,555686,1467.455,5.475,Bullish,Bullish (2019-12-08 00:00:00)
12/15/2019,1475.78,1481.69,1470.49,1478.1,389935,1476.94,9.485,Bullish,Bullish (2019-12-15 00:00:00)
12/22/2019,1478.25,1515.33,1477.54,1510.86,334813,1494.555,17.615,Bullish,Bullish (2019-12-22 00:00:00)
12/29/2019,1511.44,1553.57,1510.8,1551.64,468403,1531.54,36.985,Bullish,Bullish (2019-12-29 00:00:00)
1/5/2020,1558.55,1611.39,1540.27,1562.3,860201,1560.425,28.885,Bullish,Bullish (2020-01-05 00:00:00)
1/12/2020,1559.33,1561.49,1535.95,1557.12,526008,1558.225,-2.2,Bearish,Bearish (2020-01-12 00:00:00)
1/19/2020,1557.23,1575.83,1546.38,1571.43,497851,1564.33,6.105,Bullish,Bullish (2020-01-19 00:00:00)
1/26/2020,1581.21,1590.44,1563.4,1589.17,725171,1585.19,20.86,Bullish,Bullish (2020-01-26 00:00:00)
2/2/2020,1593.12,1593.63,1547.51,1570.25,710335,1581.685,-3.505,Bearish,Bearish (2020-02-02 00:00:00)
2/9/2020,1572.04,1584.99,1561.81,1583.98,575781,1578.01,-3.675,Bearish,Bearish (2020-02-09 00:00:00)
2/16/2020,1581.52,1649.27,1578.9,1643.32,683677,1612.42,34.41,Bullish,Bullish (2020-02-16 00:00:00)
2/23/2020,1653.32,1689.35,1562.89,1585.67,1424077,1619.495,7.075,Bullish,Bullish (2020-02-23 00:00:00)
3/1/2020,1591.59,1692.16,1575.41,1674.25,1265883,1632.92,13.425,Bullish,Bullish (2020-03-01 00:00:00)
3/8/2020,1691.8,1703.29,1504.52,1528.79,1152968,1610.295,-22.625,Bearish,Bearish (2020-03-08 00:00:00)
3/15/2020,1563.8,1575.33,1451.22,1496.77,1106042,1530.285,-80.01,Bearish,Bearish (2020-03-15 00:00:00)
3/22/2020,1502.5,1644.02,1482.35,1621.61,527412,1562.055,31.77,Bullish,Bullish (2020-03-22 00:00:00)
3/29/2020,1628.16,1632.98,1567.84,1615.72,462769,1621.94,59.885,Bullish,Bullish (2020-03-29 00:00:00)
4/5/2020,1615.04,1690.27,1608.77,1683.04,387859,1649.04,27.1,Bullish,Bullish (2020-04-05 00:00:00)
4/12/2020,1685.54,1747.81,1671.74,1681.46,638873,1683.5,34.46,Bullish,Bullish (2020-04-12 00:00:00)
4/19/2020,1678.93,1738.68,1659.45,1726.58,693889,1702.755,19.255,Bullish,Bullish (2020-04-19 00:00:00)
4/26/2020,1726.08,1727.27,1670.32,1699.2,789257,1712.64,9.885,Bullish,Bullish (2020-04-26 00:00:00)
5/3/2020,1697.67,1723.35,1681.47,1701.5,551794,1699.585,-13.055,Bearish,Bearish (2020-05-03 00:00:00)
5/10/2020,1701.09,1751.63,1691.99,1742.73,663817,1721.91,22.325,Bullish,Bullish (2020-05-10 00:00:00)
5/17/2020,1744.29,1765.31,1717.12,1735.41,683923,1739.85,17.94,Bullish,Bullish (2020-05-17 00:00:00)
5/24/2020,1731.74,1737.72,1693.7,1729.81,522113,1730.775,-9.075,Bearish,Bearish (2020-05-24 00:00:00)
5/31/2020,1735.05,1745.17,1670.72,1684.27,653328,1709.66,-21.115,Bearish,Bearish (2020-05-31 00:00:00)
6/7/2020,1682.73,1744.67,1677.37,1729.83,707074,1706.28,-3.38,Bearish,Bearish (2020-06-07 00:00:00)
6/14/2020,1726.8,1745.19,1704.22,1743.08,652384,1734.94,28.66,Bullish,Bullish (2020-06-14 00:00:00)
6/21/2020,1753.02,1779.22,1742.78,1770.38,676042,1761.7,26.76,Bullish,Bullish (2020-06-21 00:00:00)
6/28/2020,1775.42,1789.08,1757.44,1773.64,481055,1774.53,12.83,Bullish,Bullish (2020-06-28 00:00:00)
7/5/2020,1773.42,1817.97,1770,1798.51,509156,1785.965,11.435,Bullish,Bullish (2020-07-05 00:00:00)
7/12/2020,1795.97,1815.06,1790.6,1809.38,500742,1802.675,16.71,Bullish,Bullish (2020-07-12 00:00:00)
